source_ingredient_id,source_ingredient_name,canonical_id,mapping_type,confidence,source
ing_pending_0c4cc6ae5a52,,rhododendron_chrysanthum_leaf_extract,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=2483 sha256=4a523f990553
ing_pending_0c9c3a307c11,,shikimic_acid,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=6893 sha256=4a523f990553
ing_pending_0cc7440a7c86,,peg_180,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=4093 sha256=4a523f990553
ing_pending_0ccd5c264dbe,,polyglyceryl_6_polyricinoleate,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=3822 sha256=4a523f990553
ing_pending_0cd99cd0f99d,,polyhydroxystearic_acid,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=3963 sha256=4a523f990553
ing_pending_0d9fce1e8316,,geraniol,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=2704 sha256=4a523f990553
ing_pending_0ddb4f49c3d8,,boron_nitride,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=541 sha256=4a523f990553
ing_pending_0de6c6e18a4a,,polyglyceryl_2_triisostearate,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=3811 sha256=4a523f990553
ing_pending_0dea90055c2e,,peg_150,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=4092 sha256=4a523f990553
ing_pending_0def4da17ecf,,vp_hexadecene_copolymer,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=650 sha256=4a523f990553
ing_pending_0e19a946707f,,magnesium_sulfate,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=46 sha256=4a523f990553
ing_pending_0e1ae9322504,,asiatic_acid,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=1740 sha256=4a523f990553
ing_pending_0e2b041409e0,,capryloyl_salicylic_acid,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=2915 sha256=4a523f990553
ing_pending_0e43f81906dd,,coconut_alkanes,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=6979 sha256=4a523f990553
