product_id,brand,product_name,category,is_recommendable,review_count,avg_rating,month_review_count,month_review_rate,repurchase_count,repurchase_rate,photo_review_count,photo_review_rate,profile_review_count,profile_review_rate,avg_helpful_count,top_skin_types,top_skin_tones,top_skin_troubles,review_confidence
prod_oy_a000000248200,유세린,[2700만개 판매] 유세린 하이알루론 3X 나이트크림 50ml 기획 (+나이트크림7ml*2),cream,true,2254,4.807,2254,1.0000,252,0.1118,417,0.1850,655,0.2906,9.402,복합성:237;건성:182;지성:99;민감성:51;트러블성:48,쿨톤:176;웜톤:171;여름쿨톤:90;봄웜톤:85;겨울쿨톤:55,잡티:270;미백:197;트러블:152;주름:131;각질:106,high
lookfantastic_cb4d5941b889a0,Vichy,VICHY Neovadiol Meno 5 Serum for Menopausal Skin 30ml,serum,true,2251,4.385,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.000,,,,high
ulta_10559611a956ee,e.l.f. Cosmetics,Bright Icon Vitamin C + E + Ferulic Serum,serum,true,2250,4.362,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.187,,,,high
prod_oy_a000000217326,에스트라,[7월 올영픽] (50%용량증정) 에스트라 아토베리어365 세라-히알 속수분 앰플 30ml 기획 (+15ml),serum,true,2249,4.807,2249,1.0000,276,0.1227,299,0.1329,769,0.3419,6.546,복합성:321;건성:187;민감성:97;지성:90;트러블성:44,쿨톤:163;여름쿨톤:139;봄웜톤:130;웜톤:130;가을웜톤:87,잡티:291;트러블:238;미백:169;민감성:132;각질:115,high
ulta_5a5cd09d980b0b,DRMTLGY,Peptide Night Cream,cream,true,2242,4.886,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.034,,,,high
ulta_0db5402eeb0d9d,Good Molecules,Niacinamide Brightening Toner - 1.0 oz,toner,true,2238,4.551,0,0.0000,0,0.0000,0,0.0000,101,0.0451,1.422,복합성:53;건성:18;지성:18;중성:12,,,high
ulta_7f0f41baeb0dd9,Good Molecules,Niacinamide Brightening Toner - 4.0 oz,toner,true,2238,4.551,0,0.0000,0,0.0000,0,0.0000,101,0.0451,1.422,복합성:53;건성:18;지성:18;중성:12,,,high
ulta_19316b33bbac37,IT Cosmetics,Bye Bye Dark Spots Niacinamide Serum,serum,true,2236,4.401,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.416,,,,high
prod_oy_a000000225602,차앤박,[1+1/유리알속광] 차앤박 프로폴리스 에너지 액티브 앰플 30ml 더블기획(2개입),serum,true,2233,4.897,2233,1.0000,442,0.1979,269,0.1205,578,0.2588,1.430,복합성:213;건성:153;지성:97;민감성:53;트러블성:33,웜톤:162;쿨톤:129;여름쿨톤:77;봄웜톤:76;가을웜톤:70,잡티:225;미백:163;트러블:136;주름:112;각질:67,high
dermstore_69a1195c01ff0a,La Roche-Posay,La Roche-Posay Toleriane Double Repair Moisturizer (Various Sizes),cream,true,2230,4.435,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.026,,,,high
ulta_70c9779c219c51,The Ordinary,Natural Moisturizing Factors + Hyaluronic Acid Daily Moisturizer - 1.0 oz,cream,true,2225,4.144,0,0.0000,0,0.0000,0,0.0000,77,0.0346,3.654,복합성:37;건성:18;중성:18;지성:4,,,high
ulta_a9bbc1fa04c9a3,The Ordinary,Natural Moisturizing Factors + Hyaluronic Acid Daily Moisturizer - 3.3 oz,cream,true,2225,4.144,0,0.0000,0,0.0000,0,0.0000,77,0.0346,3.654,복합성:37;건성:18;중성:18;지성:4,,,high
prod_oy_a000000198320,에스트라,[올영 어워즈 1등 크림] 에스트라 아토베리어365 크림 80ml,cream,true,2212,4.833,2212,1.0000,189,0.0854,229,0.1035,593,0.2681,4.439,복합성:207;건성:151;지성:97;민감성:69;트러블성:46,여름쿨톤:136;쿨톤:123;봄웜톤:103;웜톤:95;겨울쿨톤:53,잡티:225;트러블:200;미백:139;블랙헤드:92;각질:86,high
prod_oy_a000000158038,아비브,[채서안PICK/보습탄력] 아비브 부활초 크림 뉴트리션 튜브 75ml 기획 (+30ml 추가 증정),cream,true,2207,4.760,2207,1.0000,278,0.1260,383,0.1735,607,0.2750,1.503,복합성:250;건성:179;지성:64;민감성:62;트러블성:25,웜톤:154;쿨톤:145;여름쿨톤:83;봄웜톤:77;겨울쿨톤:65,잡티:251;미백:178;트러블:176;주름:105;각질:102,high
ulta_97d76438ea077e,Good Molecules,Hyaluronic Acid Serum - 1.0 oz,serum,true,2184,4.698,0,0.0000,0,0.0000,0,0.0000,150,0.0687,1.308,복합성:67;건성:43;중성:24;지성:16,,,high
ulta_aaca3ddd8f5e74,Good Molecules,Hyaluronic Acid Serum - 2.5 oz,serum,true,2184,4.698,0,0.0000,0,0.0000,0,0.0000,150,0.0687,1.308,복합성:67;건성:43;중성:24;지성:16,,,high
lookfantastic_85cd1715025930,Lancôme,Lancôme Rénergie C.R.x. Triple Serum Retinol (Various Sizes),serum,true,2181,4.655,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.001,,,,high
prod_oy_a000000250476,에스네이처,[1등 화잘먹 수분세럼] 에스네이처 아쿠아 스쿠알란 세럼 50ml 리필기획 (+50ml 리필+발렌 하트 거울),serum,true,2169,4.758,2169,1.0000,202,0.0931,241,0.1111,657,0.3029,5.847,복합성:276;건성:142;지성:91;민감성:69;트러블성:38,여름쿨톤:135;웜톤:118;쿨톤:118;봄웜톤:115;가을웜톤:70,잡티:246;트러블:231;미백:182;블랙헤드:104;각질:100,high
prod_oy_a000000189248,바이오힐보,[수분진정] 바이오힐보 판테셀 리페어시카 크림 50ml (단품/리필기획),cream,true,2158,4.773,2158,1.0000,416,0.1928,356,0.1650,763,0.3536,2.949,복합성:328;건성:134;지성:116;민감성:80;트러블성:60,여름쿨톤:164;쿨톤:148;웜톤:141;봄웜톤:129;가을웜톤:76,잡티:306;트러블:287;미백:196;각질:113;블랙헤드:113,high
ulta_6cb24005799dc9,fresh,Rose Deep Hydration Face Cream - 0.5 oz,cream,true,2152,4.682,0,0.0000,0,0.0000,0,0.0000,13,0.0060,0.343,복합성:9;건성:3;중성:1,,,high
ulta_b51140960bd064,fresh,Rose Deep Hydration Face Cream - 1.6 oz,cream,true,2152,4.682,0,0.0000,0,0.0000,0,0.0000,13,0.0060,0.343,복합성:9;건성:3;중성:1,,,high
ulta_c73e58c032748d,fresh,Rose Deep Hydration Face Cream - 3.3 oz,cream,true,2152,4.682,0,0.0000,0,0.0000,0,0.0000,13,0.0060,0.343,복합성:9;건성:3;중성:1,,,high
