ingredient_rank,ingredient_id,name_ko,name_en,effect_id,effect_name,effect_score,score_origin,score_basis,official_signal_strength,official_signal_functions,paper_evidence_class,paper_key,evidence_score,runtime_score_active,human_approval_gate_used,full_text_gate_used
436,cetyl_palmitate,세틸팔미테이트,Cetyl Palmitate,effect_moisture_barrier,보습·장벽,30,official_function_prior,legacy_global_floor:30,medium,SKIN CONDITIONING - EMOLLIENT,,,0,Y,N,N
439,propylene_glycol_dicaprylate_dicaprate,프로필렌글라이콜다이카프릴레이트/다이카프레이트,Propylene Glycol Dicaprylate/Dicaprate,effect_moisture_barrier,보습·장벽,30,official_function_prior,legacy_global_floor:30,medium,SKIN CONDITIONING - EMOLLIENT,,,0,Y,N,N
441,algae_extract,조류추출물,Algae Extract,effect_moisture_barrier,보습·장벽,32,official_function_prior,legacy_axis_floor:32,high,HUMECTANT,,,0,Y,N,N
442,tridecyl_trimellitate,트라이데실트라이멜리테이트,Tridecyl Trimellitate,effect_moisture_barrier,보습·장벽,30,official_function_prior,legacy_global_floor:30,medium,SKIN CONDITIONING - EMOLLIENT,,,0,Y,N,N
444,avena_sativa_oat_kernel_extract,귀리커넬추출물,Avena Sativa (Oat) Kernel Extract,effect_moisture_barrier,보습·장벽,30,official_function_prior,legacy_global_floor:30,medium,SKIN CONDITIONING - EMOLLIENT,,,0,Y,N,N
445,diisopropyl_sebacate,다이아이소프로필세바케이트,Diisopropyl Sebacate,effect_moisture_barrier,보습·장벽,30,official_function_prior,legacy_global_floor:30,medium,SKIN CONDITIONING - EMOLLIENT,,,0,Y,N,N
446,neopentyl_glycol_diheptanoate,네오펜틸글라이콜다이헵타노에이트,Neopentyl Glycol Diheptanoate,effect_moisture_barrier,보습·장벽,30,official_function_prior,legacy_global_floor:30,medium,SKIN CONDITIONING - EMOLLIENT,,,0,Y,N,N
448,erythritol,에리스리톨,Erythritol,effect_moisture_barrier,보습·장벽,32,official_function_prior,legacy_axis_floor:32,high,HUMECTANT+MOISTURISING,,,0,Y,N,N
449,laminaria_saccharina_extract,슈가켈프추출물,Laminaria Saccharina Extract,effect_moisture_barrier,보습·장벽,30,official_function_prior,legacy_global_floor:30,medium,SKIN PROTECTING,,,0,Y,N,N
451,helianthus_annuus_sunflower_extract,해바라기추출물,Helianthus Annuus (Sunflower) Extract,effect_moisture_barrier,보습·장벽,30,official_function_prior,legacy_global_floor:30,medium,SKIN CONDITIONING - EMOLLIENT,,,0,Y,N,N
455,bakuchiol,바쿠치올,Bakuchiol,effect_acne_sebum,여드름·피지,35,ai_paper_override,paper_limited_medical:35,,,limited_medical,PMID:33683079,25,Y,N,N
455,bakuchiol,바쿠치올,Bakuchiol,effect_brightening,미백·톤,70,ai_paper_override,paper_primary:70,,,primary,DOI:10.1111/jocd.71000,50,Y,N,N
455,bakuchiol,바쿠치올,Bakuchiol,effect_moisture_barrier,보습·장벽,30,official_function_prior,legacy_global_floor:30,medium,SKIN CONDITIONING - EMOLLIENT,,,0,Y,N,N
455,bakuchiol,바쿠치올,Bakuchiol,effect_wrinkle,주름·탄력,70,ai_paper_override,paper_primary:70,,,primary,DOI:10.1111/jocd.71000,50,Y,N,N
457,peg_8,피이지-8,PEG-8,effect_moisture_barrier,보습·장벽,32,official_function_prior,legacy_axis_floor:32,high,HUMECTANT,,,0,Y,N,N
458,methyl_gluceth_20,메틸글루세스-20,Methyl Gluceth-20,effect_moisture_barrier,보습·장벽,32,official_function_prior,legacy_axis_floor:32,high,HUMECTANT+MOISTURISING,,,0,Y,N,N
