product_id,brand,name,category,is_recommendable,recommend_exclude_reason,skin_type_tags,thumbnail_url,image_urls,functional_review_text,functional_cosmetic_status,functional_cosmetic_claims,functional_claim_confidence,functional_claim_basis
ulta_520e59495717be,Oliere Paris,Valour Restorative Smoothing Leave-In Hair Mask,haircare,false,db_only_foreign_catalog:haircare,,https://media.ultainc.com/i/ulta/77005927?w=500&h=500,https://media.ultainc.com/i/ulta/77005927?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_50911b486fe998,Oliere Paris,Hydra Wave Hydrating Curl Hair Serum,haircare,false,db_only_foreign_catalog:haircare,,https://media.ultainc.com/i/ulta/77005956?w=500&h=500,https://media.ultainc.com/i/ulta/77005956?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_e0b95230afaf02,Oliere Paris,Hydra Wave Hydrating Curl Hair Mask,haircare,false,db_only_foreign_catalog:haircare,,https://media.ultainc.com/i/ulta/77005963?w=500&h=500,https://media.ultainc.com/i/ulta/77005963?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_79248471d460c7,Soapbox,Biotin & Superfruit Volumizing Conditioner - 33.8 oz,haircare,false,db_only_foreign_catalog:haircare,,https://media.ultainc.com/i/ulta/77005683?w=500&h=500,https://media.ultainc.com/i/ulta/77005683?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_6580d9225a1dee,WeGym,Premium Suede Mat - Blush Ombre,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/77006094?w=500&h=500,https://media.ultainc.com/i/ulta/77006094?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_8e428a68314bc8,Particle for Men,Hand Cream,bodycare,false,db_only_foreign_catalog:bodycare,,https://media.ultainc.com/i/ulta/77006177?w=500&h=500,https://media.ultainc.com/i/ulta/77006177?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_7b327f18712248,Caldera + Lab,The Hair Care System,haircare,false,db_only_foreign_catalog:haircare,,https://media.ultainc.com/i/ulta/77006213?w=500&h=500,https://media.ultainc.com/i/ulta/77006213?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_fe25b3b0919259,Caldera + Lab,The Body Bar 3-Pack,bodycare,false,db_only_foreign_catalog:bodycare,,https://media.ultainc.com/i/ulta/77006219?w=500&h=500,https://media.ultainc.com/i/ulta/77006219?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_3da09e122434ca,Baxter of California,Daily Complete Care Conditioner - 2 oz,haircare,false,db_only_foreign_catalog:haircare,,https://media.ultainc.com/i/ulta/77006248?w=500&h=500,https://media.ultainc.com/i/ulta/77006248?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_112b4e89f44017,Baxter of California,Exfoliating Body Bar - 7 oz,bodycare,false,db_only_foreign_catalog:bodycare,,https://media.ultainc.com/i/ulta/77006253?w=500&h=500,https://media.ultainc.com/i/ulta/77006253?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_993328c6431c40,Baxter of California,Invigorating Body Wash Italian Lime & Pomegranate - 8 oz,bodycare,false,db_only_foreign_catalog:bodycare,,https://media.ultainc.com/i/ulta/77006258?w=500&h=500,https://media.ultainc.com/i/ulta/77006258?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_eae6669783b297,Baxter of California,Fortifying Shampoo - 16 oz,haircare,false,db_only_foreign_catalog:haircare,,https://media.ultainc.com/i/ulta/77006280?w=500&h=500,https://media.ultainc.com/i/ulta/77006280?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_56bca59612b1ce,Baxter of California,Deodorant - Italian Lime & Pomegranate Essence,bodycare,false,db_only_foreign_catalog:bodycare,,https://media.ultainc.com/i/ulta/77006286?w=500&h=500,https://media.ultainc.com/i/ulta/77006286?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_a1e7607cabbb0a,Baxter of California,Daily Complete Care Shampoo - 2 oz,haircare,false,db_only_foreign_catalog:haircare,,https://media.ultainc.com/i/ulta/77006316?w=500&h=500,https://media.ultainc.com/i/ulta/77006316?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_467bf99935d4c8,Blossom Essentials,Essential Hydration Scalp Serum,haircare,false,db_only_foreign_catalog:haircare,,https://media.ultainc.com/i/ulta/77006349?w=500&h=500,https://media.ultainc.com/i/ulta/77006349?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_621614c4622e2b,KUNDAL,Honey & Macadamia Pure Body Lotion,bodycare,false,db_only_foreign_catalog:bodycare,,https://media.ultainc.com/i/ulta/77006392?w=500&h=500,https://media.ultainc.com/i/ulta/77006392?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_bef1b117172379,MDSolarSciences,Hydrating Sheer Lip Balm SPF 30 - Shimmer,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/77006426?w=500&h=500,https://media.ultainc.com/i/ulta/77006426?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_dd233bdb1cb01d,Florasis,Floral Engraving Phoenix Makeup Palette - 03 Soaring Sunlight,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/77006441?w=500&h=500,https://media.ultainc.com/i/ulta/77006441?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_ecfe5f4fc041cb,Laundry Sauce,Advanced In Wash Scent Booster - Australian Sandalwood,fragrance,false,db_only_foreign_catalog:fragrance,,https://media.ultainc.com/i/ulta/77006472?w=500&h=500,https://media.ultainc.com/i/ulta/77006472?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_76d03f73968e25,Saint Jane,Luxury Lip Oil - Alchemy,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/77006279?w=500&h=500,https://media.ultainc.com/i/ulta/77006279?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_d97a3f788e2298,Cleverman,2X Pack Reusable Beard & Hair Dye Kit - Lightest Blond,haircare,false,db_only_foreign_catalog:haircare,,https://media.ultainc.com/i/ulta/77006568?w=500&h=500,https://media.ultainc.com/i/ulta/77006568?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_68a7c8cbe4f007,Cleverman,2X Pack Reusable Beard & Hair Dye Kit - Jet Black,haircare,false,db_only_foreign_catalog:haircare,,https://media.ultainc.com/i/ulta/77006574?w=500&h=500,https://media.ultainc.com/i/ulta/77006574?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_56fd822bfe7a17,Oliere Paris,Valour Smoothing Repairing Shine-Enhancing Hair Care Set,haircare,false,db_only_foreign_catalog:haircare,,https://media.ultainc.com/i/ulta/77006569?w=500&h=500,https://media.ultainc.com/i/ulta/77006569?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_754b149a4e2cbc,SUBTL. Beauty,5-in-1 Full Face Makeup Stack - 001C,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/77006594?w=500&h=500,https://media.ultainc.com/i/ulta/77006594?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_089b9ab82ea221,SUBTL. Beauty,5-in-1 Full Face Makeup Stack - 006W,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/77006604?w=500&h=500,https://media.ultainc.com/i/ulta/77006604?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_c5980d8968cb22,SUBTL. Beauty,5-in-1 Full Face Makeup Stack - 010W,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/77006608?w=500&h=500,https://media.ultainc.com/i/ulta/77006608?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_af1c5ca9a8df65,NassifMD Skincare,Hydro-Screen Lip Plumper - Vanilla,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/77006625?w=500&h=500,https://media.ultainc.com/i/ulta/77006625?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_5a53c1dcacd217,My Neighbor's Tallow,Wild Bergamot Body Wash,bodycare,false,db_only_foreign_catalog:bodycare,,https://media.ultainc.com/i/ulta/77006688?w=500&h=500,https://media.ultainc.com/i/ulta/77006688?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
