rank,source_ingredient_id,dominant_name,row_count,product_count,cumulative_all_rows_pct,observed_name_count,top_observed_names,observed_names_json,existing_canonical_id,triage_status,triage_note
2173,ing_pending_87b063012451,소듐카보머,69,69,24.0330,1,소듐카보머 (69),"[{""name"":""소듐카보머"",""count"":69}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2174,ing_pending_884f0e3454a0,레조시놀,69,69,24.0364,1,레조시놀 (69),"[{""name"":""레조시놀"",""count"":69}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2175,ing_pending_8b02a08c7a3c,Centella Asiatica (Gotu Kola) Extract,69,69,24.0397,4,Centella Asiatica (Gotu Kola) Extract (65) | centella asiatica (gotu kola) extract (2) | Centella asiatica (Gotu Kola) extract (1) | Centella Asiatica (Gotukola) Extract (1),"[{""name"":""Centella Asiatica (Gotu Kola) Extract"",""count"":65},{""name"":""centella asiatica (gotu kola) extract"",""count"":2},{""name"":""Centella asiatica (Gotu Kola) extract"",""count"":1},{""name"":""Centella Asiatica (Gotukola) Extract"",""count"":1}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2176,ing_pending_91f70ef9c726,Cetylhydroxyproline Palmitamide,69,69,24.0431,2,Cetylhydroxyproline Palmitamide (68) | CetylhydroxyprolinePalmitamide (1),"[{""name"":""Cetylhydroxyproline Palmitamide"",""count"":68},{""name"":""CetylhydroxyprolinePalmitamide"",""count"":1}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2177,ing_pending_9a107f15e6f0,타임추출물,69,69,24.0464,1,타임추출물 (69),"[{""name"":""타임추출물"",""count"":69}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2178,ing_pending_9d6228bc0ee1,Chlorophyllin-Copper Complex,69,69,24.0498,4,Chlorophyllin-Copper Complex (65) | Chlorophyllin Copper Complex (2) | Chlorophyllin-Copper Complex\*\ (1) | Chlorophyllin-copper Complex (1),"[{""name"":""Chlorophyllin-Copper Complex"",""count"":65},{""name"":""Chlorophyllin Copper Complex"",""count"":2},{""name"":""Chlorophyllin-Copper Complex\\*\\"",""count"":1},{""name"":""Chlorophyllin-copper Complex"",""count"":1}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2179,ing_pending_a6990e786d55,Citrus Grandis (Grapefruit) Peel Extract,69,69,24.0531,2,Citrus Grandis (Grapefruit) Peel Extract (68) | citrus grandis (grapefruit) peel extract (1),"[{""name"":""Citrus Grandis (Grapefruit) Peel Extract"",""count"":68},{""name"":""citrus grandis (grapefruit) peel extract"",""count"":1}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2180,ing_pending_ba36352a0d84,바닐린,69,69,24.0565,1,바닐린 (69),"[{""name"":""바닐린"",""count"":69}]",vanillin,merge_existing,모든 원문명이 기존 alias와 정확히 일치
2181,ing_pending_bb336a3e548f,Glycerin/Sebacic ­Acid ­Copolymer,69,69,24.0598,2,Glycerin/Sebacic ­Acid ­Copolymer (52) | Glycerin/Sebacic Acid Copolymer (17),"[{""name"":""Glycerin/Sebacic ­Acid ­Copolymer"",""count"":52},{""name"":""Glycerin/Sebacic Acid Copolymer"",""count"":17}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2182,ing_pending_bc7f12d9157b,Lactobacillus/Pumpkin Ferment Extract,69,69,24.0632,4,Lactobacillus/Pumpkin Ferment Extract (66) | Lactobacillus/pumpkin Ferment Extract (1) | Lactobacillus/​Pumpkin Ferment Extract (1) | LACTOBACILLUS/PUMPKIN FERMENT EXTRACT (1),"[{""name"":""Lactobacillus/Pumpkin Ferment Extract"",""count"":66},{""name"":""Lactobacillus/pumpkin Ferment Extract"",""count"":1},{""name"":""Lactobacillus/​Pumpkin Ferment Extract"",""count"":1},{""name"":""LACTOBACILLUS/PUMPKIN FERMENT EXTRACT"",""count"":1}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2183,ing_pending_c8a4f3f8dee0,버지니아풍년화잎추출물,69,69,24.0665,1,버지니아풍년화잎추출물 (69),"[{""name"":""버지니아풍년화잎추출물"",""count"":69}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2184,ing_pending_d9b1f3dff331,CI 77891 (Titanium Dioxide). Product ingredient listings are updated periodically. Before using a Benefit Product,69,69,24.0699,1,CI 77891 (Titanium Dioxide). Product ingredient listings are updated periodically. Before using a Benefit Product (69),"[{""name"":""CI 77891 (Titanium Dioxide). Product ingredient listings are updated periodically. Before using a Benefit Product"",""count"":69}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2185,ing_pending_ecddb8f9411d,메틸글루코오스세스퀴스테아레이트,69,69,24.0733,1,메틸글루코오스세스퀴스테아레이트 (69),"[{""name"":""메틸글루코오스세스퀴스테아레이트"",""count"":69}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2186,ing_pending_3b58ae6f7986,Palmitoyl Grape Seed Extract,68,68,24.0766,1,Palmitoyl Grape Seed Extract (68),"[{""name"":""Palmitoyl Grape Seed Extract"",""count"":68}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2187,ing_pending_411f721d4a6b,Artemisia Princeps Leaf Extract,68,68,24.0799,2,Artemisia Princeps Leaf Extract (67) | ARTEMISIA PRINCEPS LEAF EXTRACT (1),"[{""name"":""Artemisia Princeps Leaf Extract"",""count"":67},{""name"":""ARTEMISIA PRINCEPS LEAF EXTRACT"",""count"":1}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2188,ing_pending_44ec6e7e2467,Silk Extract,68,68,24.0832,1,Silk Extract (68),"[{""name"":""Silk Extract"",""count"":68}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2189,ing_pending_50fff087374c,장미추출물,68,68,24.0865,1,장미추출물 (68),"[{""name"":""장미추출물"",""count"":68}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2190,ing_pending_894e8d9151ca,Silicone Quaternium-8,68,68,24.0898,1,Silicone Quaternium-8 (68),"[{""name"":""Silicone Quaternium-8"",""count"":68}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
