product_id,canonical_id,kept_ingredient_name,kept_display_order,source_row_count,source_ingredient_ids,source_ingredient_names,source_display_orders,source_concentration_texts,source_normalized_concentrations,concentration_policy
prod_oy_a000000255625,cholesterol_fatty_acids,스테아릭애씨드,22,5,ing_pending_8e5e6501448c; ing_pending_eef58792a781; ing_pending_31868b33631e; ing_pending_481b392e8e2b; ing_pending_bf86770f3c63,스테아릭애씨드; 팔미틱애씨드; 미리스틱애씨드; 라우릭애씨드; 콜레스테롤,22; 24; 28; 29; 50,,,none
prod_oy_a000000255625,hyaluronic_acid,소듐하이알루로네이트,42,5,ing_pending_dc86714c6b9b; ing_pending_d5a75e7d8737; ing_pending_1e416583864f; ing_pending_2a70c7167edc; ing_pending_699a72e62403,소듐하이알루로네이트; 하이드롤라이즈드하이알루로닉애씨드; 소듐하이알루로네이트크로스폴리머; 하이알루로닉애씨드; 소듐아세틸레이티드하이알루로네이트,42; 45; 47; 49; 52,,,none
prod_oy_a000000257656,cholesterol_fatty_acids,콜레스테롤,45,3,ing_pending_bf86770f3c63; ing_pending_eef58792a781; ing_pending_8e5e6501448c,콜레스테롤; 팔미틱애씨드; 스테아릭애씨드,45; 48; 49,,,none
prod_oy_a000000258055,cholesterol_fatty_acids,리놀레익애씨드,39,5,ing_pending_c2da1622e0c3; ing_pending_452a2c10432c; ing_pending_eef58792a781; ing_pending_8e5e6501448c; ing_pending_305a33c461d9,리놀레익애씨드; 올레익애씨드; 팔미틱애씨드; 스테아릭애씨드; 리놀레닉애씨드,39; 43; 46; 47; 52,,,none
prod_oy_a000000258315,hyaluronic_acid,소듐하이알루로네이트,18,4,ing_pending_dc86714c6b9b; ing_pending_d5a75e7d8737; ing_pending_699a72e62403; ing_pending_91a214fb54fa,소듐하이알루로네이트; 하이드롤라이즈드하이알루로닉애씨드; 소듐아세틸레이티드하이알루로네이트; 하이드록시프로필트라이모늄하이알루로네이트,18; 23; 24; 31,,,none
prod_oy_a000000258315,cholesterol_fatty_acids,콜레스테롤,34,2,ing_pending_bf86770f3c63; ing_pending_eef58792a781,콜레스테롤; 팔미틱애씨드,34; 36,,,none
prod_oy_a000000198320,cholesterol_fatty_acids,스테아릭애씨드,12,4,ing_pending_8e5e6501448c; ing_pending_eef58792a781; ing_pending_bf86770f3c63; ing_pending_452a2c10432c,스테아릭애씨드; 팔미틱애씨드; 콜레스테롤; 올레익애씨드,12; 16; 19; 42,,,none
prod_oy_a000000107841,cholesterol_fatty_acids,스테아릭애씨드,54,2,ing_pending_8e5e6501448c; ing_pending_bf86770f3c63,스테아릭애씨드; 콜레스테롤,54; 66,,,none
prod_oy_a000000115499,cholesterol_fatty_acids,스테아릭애씨드,10,3,ing_pending_8e5e6501448c; ing_pending_eef58792a781; ing_pending_452a2c10432c,스테아릭애씨드; 팔미틱애씨드; 올레익애씨드,10; 18; 29,,,none
prod_oy_a000000142737,hyaluronic_acid,소듐하이알루로네이트,11,3,ing_pending_dc86714c6b9b; ing_pending_d5a75e7d8737; ing_pending_699a72e62403,소듐하이알루로네이트; 하이드롤라이즈드하이알루로닉애씨드; 소듐아세틸레이티드하이알루로네이트,11; 16; 17,소듐하이알루로네이트 3010ppm; 하이드롤라이즈드하이알루로닉애씨드 5ppm; 소듐아세틸레이티드하이알루로네이트 0.5ppm,0.301 %; 0.0005 %; 0.00005 %,ambiguous_numeric_blank
