portfolio_rank,ingredient_id,name_ko,name_en,effect_id,effect_name,current_runtime,current_effect_score,best_evidence_tier,best_relation_scope,best_applicability,best_pmid,signal_strength,score_basis,proposed_effect_score,scientific_evidence_score,runtime_score_eligible,counterfactual_score_eligible_after_review,score_exclusion_reason,review_status,activation_status
38,menthol,멘톨,Menthol,effect_calming,진정,N,,2,abstract_exact,human_topical,24746728,high,paper_candidate_tier_2,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
39,sodium_phosphate,소듐포스페이트,Sodium Phosphate,effect_acne_sebum,여드름·피지,N,,2,abstract_exact,human_topical,25749543,high,paper_candidate_tier_2,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
40,tocopherol,토코페롤,Tocopherol,effect_moisture_barrier,보습·장벽,N,,2,abstract_exact,human_topical,21822034,medium,paper_candidate_tier_2,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
41,sea_water,해수,Sea Water,effect_moisture_barrier,보습·장벽,N,,2,title_exact,human_topical,11301639,high,paper_candidate_tier_2,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
42,glucose,글루코오스,Glucose,effect_moisture_barrier,보습·장벽,N,,3,title_exact,human_topical,33108650,high,paper_candidate_tier_3,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
43,lactic_acid,락틱애씨드,Lactic Acid,effect_moisture_barrier,보습·장벽,N,,2,abstract_exact,human_topical,40736038,high,paper_candidate_tier_2,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
44,betaine,베타인,Betaine,effect_moisture_barrier,보습·장벽,N,,3,abstract_exact,human_topical,10048655,high,paper_candidate_tier_3,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
45,collagen,콜라겐,Collagen,effect_moisture_barrier,보습·장벽,N,,2,abstract_exact,human_topical,41052296,high,paper_candidate_tier_2,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
46,piroctone_olamine,피록톤올아민,Piroctone Olamine,effect_acne_sebum,여드름·피지,N,,2,abstract_exact,human_topical,29484095,high,paper_candidate_tier_2,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
47,sulfur,황,Sulfur,effect_acne_sebum,여드름·피지,N,,1,title_exact,human_topical,33034949,high,paper_candidate_tier_1,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
48,ammonium_lactate,암모늄락테이트,Ammonium Lactate,effect_exfoliation,각질,N,,2,title_exact,human_topical,11904326,high,paper_candidate_tier_2,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
48,ammonium_lactate,암모늄락테이트,Ammonium Lactate,effect_moisture_barrier,보습·장벽,N,,4,title_exact,human_topical,1350137,high,paper_candidate_tier_4,6.00,0.00,N,Y,,candidate_unverified,candidate_unverified
49,hypericum_perforatum_extract,서양고추나물추출물,Hypericum Perforatum Extract,effect_calming,진정,N,,2,title_exact,human_topical,10885442,high,paper_candidate_tier_2,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
49,hypericum_perforatum_extract,서양고추나물추출물,Hypericum Perforatum Extract,effect_moisture_barrier,보습·장벽,N,,8,abstract_exact,combination_or_formulation,18667843,medium,screening_only_tier_8,0.00,0.00,N,N,combination_not_separable,candidate_unverified,screening_only
50,ethoxydiglycol,에톡시다이글라이콜,Ethoxydiglycol,effect_moisture_barrier,보습·장벽,N,,3,abstract_exact,human_topical,29318715,high,paper_candidate_tier_3,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
51,isopropyl_myristate,아이소프로필미리스테이트,Isopropyl Myristate,effect_moisture_barrier,보습·장벽,N,,2,abstract_exact,human_topical,25305378,medium,paper_candidate_tier_2,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
52,isobutylamido_thiazolyl_resorcinol,아이소부틸아미도티아졸릴레조시놀,Isobutylamido Thiazolyl Resorcinol,effect_brightening,미백·톤,N,,2,title_exact,human_topical,33988887,high,paper_candidate_tier_2,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
53,zinc_oxide,징크옥사이드,Zinc Oxide,effect_moisture_barrier,보습·장벽,N,,2,title_exact,human_topical,17128840,medium,paper_candidate_tier_2,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
54,rosmarinic_acid,로즈마리닉애씨드,Rosmarinic Acid,effect_calming,진정,N,,2,title_exact,human_topical,19239556,high,paper_candidate_tier_2,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
55,isosorbide,아이소소바이드,Isosorbide,effect_moisture_barrier,보습·장벽,N,,2,title_exact,human_topical,33181142,high,paper_candidate_tier_2,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
56,palmitic_acid,팔미틱애씨드,Palmitic Acid,effect_moisture_barrier,보습·장벽,N,,2,abstract_exact,human_topical,26528587,medium,paper_candidate_tier_2,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
57,cetearyl_alcohol,세테아릴알코올,Cetearyl Alcohol,effect_moisture_barrier,보습·장벽,N,,3,abstract_exact,human_topical,17331708,medium,paper_candidate_tier_3,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
58,methyl_nicotinate,메틸니코티네이트,Methyl Nicotinate,effect_calming,진정,N,,3,title_exact,human_topical,1742244,high,paper_candidate_tier_3,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
59,butylene_glycol,부틸렌글라이콜,Butylene Glycol,effect_moisture_barrier,보습·장벽,N,,3,abstract_exact,combination_or_formulation,39741562,high,screening_only_tier_3,0.00,0.00,N,N,combination_not_separable,candidate_unverified,screening_only
60,sodium_bicarbonate,소듐바이카보네이트,Sodium Bicarbonate,effect_moisture_barrier,보습·장벽,N,,2,title_exact,human_topical,31077089,medium,paper_candidate_tier_2,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
61,xylitol,자일리톨,Xylitol,effect_acne_sebum,여드름·피지,N,,4,title_exact,human_topical,34771112,high,paper_candidate_tier_4,6.00,0.00,N,Y,,candidate_unverified,candidate_unverified
61,xylitol,자일리톨,Xylitol,effect_moisture_barrier,보습·장벽,N,,6,title_exact,mechanistic,26370610,high,paper_candidate_tier_6,4.00,0.00,N,Y,,candidate_unverified,candidate_unverified
62,trehalose,트레할로오스,Trehalose,effect_moisture_barrier,보습·장벽,N,,2,title_exact,combination_or_formulation,38606717,high,screening_only_tier_2,0.00,0.00,N,N,combination_not_separable,candidate_unverified,screening_only
63,mineral_oil,미네랄오일,Mineral Oil,effect_moisture_barrier,보습·장벽,N,,2,title_exact,human_topical,15724344,medium,paper_candidate_tier_2,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
64,methyl_salicylate,메틸살리실레이트,Methyl Salicylate,effect_calming,진정,N,,3,title_exact,human_topical,36339533,high,paper_candidate_tier_3,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
65,petrolatum,페트롤라툼,Petrolatum,effect_moisture_barrier,보습·장벽,N,,2,title_exact,human_topical,28677237,medium,paper_candidate_tier_2,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
66,yeast_extract,효모추출물,Yeast Extract,effect_moisture_barrier,보습·장벽,N,,2,abstract_exact,human_topical,37763018,medium,paper_candidate_tier_2,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
67,saccharide_isomerate,사카라이드아이소머레이트,Saccharide Isomerate,effect_moisture_barrier,보습·장벽,N,,2,title_exact,combination_or_formulation,35279940,high,screening_only_tier_2,0.00,0.00,N,N,combination_not_separable,candidate_unverified,screening_only
68,ethyl_linoleate,에틸리놀리에이트,Ethyl Linoleate,effect_moisture_barrier,보습·장벽,N,,2,abstract_exact,human_topical,33181142,medium,paper_candidate_tier_2,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
69,glycol,글라이콜,Glycol,effect_moisture_barrier,보습·장벽,N,,3,abstract_exact,human_topical,30055301,high,paper_candidate_tier_3,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
70,histidine,히스티딘,Histidine,effect_moisture_barrier,보습·장벽,N,,4,abstract_exact,human_topical,21504444,high,paper_candidate_tier_4,6.00,0.00,N,Y,,candidate_unverified,candidate_unverified
71,squalene,스쿠알렌,Squalene,effect_moisture_barrier,보습·장벽,N,,2,abstract_exact,human_topical,32697858,medium,paper_candidate_tier_2,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
72,centella_asiatica_extract,병풀추출물,Centella Asiatica Extract,effect_calming,진정,N,,2,abstract_exact,combination_or_formulation,40613435,high,screening_only_tier_2,0.00,0.00,N,N,combination_not_separable,candidate_unverified,screening_only
73,glutamic_acid,글루타믹애씨드,Glutamic Acid,effect_moisture_barrier,보습·장벽,N,,4,abstract_exact,human_topical,21504444,high,paper_candidate_tier_4,6.00,0.00,N,Y,,candidate_unverified,candidate_unverified
74,jojoba_esters,호호바에스터,Jojoba Esters,effect_calming,진정,N,,,,,,high,screening_only_cosing_function,0.00,0.00,N,N,no_exact_pubmed_paper,candidate_unverified,screening_only
74,jojoba_esters,호호바에스터,Jojoba Esters,effect_moisture_barrier,보습·장벽,N,,2,abstract_exact,combination_or_formulation,19146603,high,screening_only_tier_2,0.00,0.00,N,N,combination_not_separable,candidate_unverified,screening_only
75,linolenic_acid,리놀레닉애씨드,Linolenic Acid,effect_moisture_barrier,보습·장벽,N,,2,title_exact,human_topical,40754213,medium,paper_candidate_tier_2,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
