ingredient_rank,ingredient_id,name_ko,name_en,product_count,search_terms,search_query,raw_pubmed_hit_count,selected_paper_count,catalog_status,review_status,score_change,searched_on,pipeline_version
225,methyl_methacrylate_crosspolymer,메틸메타크릴레이트크로스폴리머,Methyl Methacrylate Crosspolymer,1479,Methyl Methacrylate Crosspolymer,"(""Methyl Methacrylate Crosspolymer""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",1,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
226,methyl_trimethicone,메틸트라이메티콘,Methyl Trimethicone,1473,Methyl Trimethicone,"(""Methyl Trimethicone""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",0,0,no_pubmed_hit,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
227,butyloctyl_salicylate,부틸옥틸살리실레이트,Butyloctyl Salicylate,1471,Butyloctyl Salicylate,"(""Butyloctyl Salicylate""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",2,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
228,iron_oxide_yellow,황색산화철,Iron Oxide Yellow,1463,Iron Oxide Yellow,"(""Iron Oxide Yellow""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",0,0,no_pubmed_hit,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
229,citrus_aurantium_dulcis_orange_peel_oil,오렌지껍질오일,Citrus Aurantium Dulcis (Orange) Peel Oil,1458,Citrus Aurantium Dulcis (Orange) Peel Oil|citrus aurantium dulcis orange peel oil,"(""Citrus Aurantium Dulcis (Orange) Peel Oil""[Title/Abstract] OR ""citrus aurantium dulcis orange peel oil""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",0,0,no_pubmed_hit,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
230,curcuma_longa_turmeric_root_extract,울금뿌리추출물,Curcuma Longa (Turmeric) Root Extract,1455,Curcuma Longa (Turmeric) Root Extract|curcuma longa turmeric root extract,"(""Curcuma Longa (Turmeric) Root Extract""[Title/Abstract] OR ""curcuma longa turmeric root extract""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",0,0,no_pubmed_hit,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
231,bis_diglyceryl_polyacyladipate_2,비스-다이글리세릴폴리아실아디페이트-2,Bis-Diglyceryl Polyacyladipate-2,1449,Bis-Diglyceryl Polyacyladipate-2|bis diglyceryl polyacyladipate 2,"(""Bis-Diglyceryl Polyacyladipate-2""[Title/Abstract] OR ""bis diglyceryl polyacyladipate 2""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",1,1,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
232,alcohol_denat,변성알코올,Alcohol Denat.,1444,Alcohol Denat.|alcohol denat,"(""Alcohol Denat.""[Title/Abstract] OR ""alcohol denat""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",1,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
233,talc,탤크,Talc,1442,Talc,"(""Talc""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",49,1,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
234,trihydroxystearin,트라이하이드록시스테아린,Trihydroxystearin,1441,Trihydroxystearin,"(""Trihydroxystearin""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",0,0,no_pubmed_hit,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
235,sodium_hyaluronate_crosspolymer,소듐하이알루로네이트크로스폴리머,Sodium Hyaluronate Crosspolymer,1437,Sodium Hyaluronate Crosspolymer,"(""Sodium Hyaluronate Crosspolymer""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",0,0,no_pubmed_hit,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
236,saccharide_isomerate,사카라이드아이소머레이트,Saccharide Isomerate,1433,Saccharide Isomerate,"(""Saccharide Isomerate""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",7,2,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
237,polyglyceryl_3_diisostearate,폴리글리세릴-3다이아이소스테아레이트,Polyglyceryl-3 Diisostearate,1430,Polyglyceryl-3 Diisostearate|polyglyceryl 3 diisostearate,"(""Polyglyceryl-3 Diisostearate""[Title/Abstract] OR ""polyglyceryl 3 diisostearate""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",1,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
238,zinc_stearate,징크스테아레이트,Zinc Stearate,1430,Zinc Stearate,"(""Zinc Stearate""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",5,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
239,cellulose,셀룰로오스,Cellulose,1427,Cellulose,"(""Cellulose""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",50,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
240,tetramethyl_acetyloctahydronaphthalenes,테트라메틸아세틸옥타하이드로나프탈렌,Tetramethyl Acetyloctahydronaphthalenes,1419,Tetramethyl Acetyloctahydronaphthalenes,"(""Tetramethyl Acetyloctahydronaphthalenes""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",0,0,no_pubmed_hit,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
241,tribehenin,트라이베헤닌,Tribehenin,1415,Tribehenin,"(""Tribehenin""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",1,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
242,iron_oxide_black,흑색산화철,Iron Oxide Black,1413,Iron Oxide Black,"(""Iron Oxide Black""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",1,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
243,nylon_12,나일론-12,Nylon-12,1399,Nylon-12|nylon 12,"(""Nylon-12""[Title/Abstract] OR ""nylon 12""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",0,0,no_pubmed_hit,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
244,calcium_aluminum_borosilicate,칼슘알루미늄보로실리케이트,Calcium Aluminum Borosilicate,1389,Calcium Aluminum Borosilicate,"(""Calcium Aluminum Borosilicate""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",0,0,no_pubmed_hit,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
245,ethylhexyl_salicylate,에칠헥실살리실레이트,Ethylhexyl Salicylate,1385,Ethylhexyl Salicylate,"(""Ethylhexyl Salicylate""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",50,1,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
246,hydrogenated_polydecene,하이드로제네이티드폴리데센,Hydrogenated Polydecene,1378,Hydrogenated Polydecene,"(""Hydrogenated Polydecene""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",0,0,no_pubmed_hit,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
247,sodium_cocoyl_isethionate,소듐코코일이세티오네이트,Sodium Cocoyl Isethionate,1375,Sodium Cocoyl Isethionate,"(""Sodium Cocoyl Isethionate""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",6,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
248,sodium_acetylated_hyaluronate,소듐아세틸레이티드하이알루로네이트,Sodium Acetylated Hyaluronate,1371,Sodium Acetylated Hyaluronate,"(""Sodium Acetylated Hyaluronate""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",1,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
249,sodium_phosphate,소듐포스페이트,Sodium Phosphate,1370,Sodium Phosphate,"(""Sodium Phosphate""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",50,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
250,melia_azadirachta_leaf_extract,인도멀구슬나무잎추출물,Melia Azadirachta Leaf Extract,1369,Melia Azadirachta Leaf Extract,"(""Melia Azadirachta Leaf Extract""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",0,0,no_pubmed_hit,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
251,polyisobutene,폴리아이소부텐,Polyisobutene,1354,Polyisobutene,"(""Polyisobutene""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",9,1,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
252,asiatic_acid,아시아틱애씨드,Asiatic Acid,1334,Asiatic Acid,"(""Asiatic Acid""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",50,3,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
253,rosmarinus_officinalis_rosemary_leaf_oil,로즈마리잎오일,Rosmarinus Officinalis (Rosemary) Leaf Oil,1333,Rosmarinus Officinalis (Rosemary) Leaf Oil|rosmarinus officinalis rosemary leaf oil,"(""Rosmarinus Officinalis (Rosemary) Leaf Oil""[Title/Abstract] OR ""rosmarinus officinalis rosemary leaf oil""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",0,0,no_pubmed_hit,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
254,citrus_aurantium_bergamia_bergamot_fruit_oil,베르가모트오일,Citrus Aurantium Bergamia (Bergamot) Fruit Oil,1327,Citrus Aurantium Bergamia (Bergamot) Fruit Oil|citrus aurantium bergamia bergamot fruit oil,"(""Citrus Aurantium Bergamia (Bergamot) Fruit Oil""[Title/Abstract] OR ""citrus aurantium bergamia bergamot fruit oil""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",0,0,no_pubmed_hit,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
255,laureth_7,라우레스-7,Laureth-7,1322,Laureth-7|laureth 7,"(""Laureth-7""[Title/Abstract] OR ""laureth 7""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",4,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
256,limnanthes_alba_meadowfoam_seed_oil,메도우폼씨오일,Limnanthes Alba (Meadowfoam) Seed Oil,1322,Limnanthes Alba (Meadowfoam) Seed Oil|limnanthes alba meadowfoam seed oil,"(""Limnanthes Alba (Meadowfoam) Seed Oil""[Title/Abstract] OR ""limnanthes alba meadowfoam seed oil""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",0,0,no_pubmed_hit,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
257,madecassic_acid,마데카식애씨드,Madecassic Acid,1319,Madecassic Acid,"(""Madecassic Acid""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",32,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
258,methylparaben,메틸파라벤,Methylparaben,1315,Methylparaben,"(""Methylparaben""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",50,1,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
259,trideceth_12,트라이데세스-12,Trideceth-12,1305,Trideceth-12|trideceth 12,"(""Trideceth-12""[Title/Abstract] OR ""trideceth 12""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",0,0,no_pubmed_hit,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
260,amyl_cinnamal,아밀신남알,Amyl Cinnamal,1292,Amyl Cinnamal,"(""Amyl Cinnamal""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",8,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
261,sodium_metabisulfite,소듐메타바이설파이트,Sodium Metabisulfite,1287,Sodium Metabisulfite,"(""Sodium Metabisulfite""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",50,3,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
