fetched_on,source_url,inci_name,functions_json,restrictions_json,sccs_opinions_json,substance_ids_json
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,CETEARYL OLIVATE,"[""EMULSION STABILISING"", ""HAIR CONDITIONING"", ""SKIN CONDITIONING - EMOLLIENT"", ""SLIP MODIFIER"", ""SURFACTANT - EMULSIFYING""]",[],[],"[""55337""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,CETRIMONIUM CHLORIDE,"[""ANTIMICROBIAL"", ""ANTISTATIC"", ""PRESERVATIVE"", ""SURFACTANT - EMULSIFYING""]","[""V/44""]","[""Opinion on Alkyl (C16, C18, C22) trimethylammonium chloride - For other uses than as a preservative""]","[""32590""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,CETYL ALCOHOL,"[""EMULSION STABILISING"", ""FRAGRANCE"", ""OPACIFYING"", ""SKIN CONDITIONING - EMOLLIENT"", ""SURFACTANT - CLEANSING"", ""SURFACTANT - EMULSIFYING"", ""SURFACTANT - FOAM BOOSTING"", ""VISCOSITY CONTROLLING""]",[],[],"[""32596""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,CETYL ESTERS,"[""SKIN CONDITIONING"", ""SKIN CONDITIONING - EMOLLIENT""]",[],[],"[""74954""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,CETYL ETHYLHEXANOATE,"[""SKIN CONDITIONING - EMOLLIENT""]",[],[],"[""32603""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,CETYL PALMITATE,"[""FRAGRANCE"", ""SKIN CONDITIONING"", ""SKIN CONDITIONING - EMOLLIENT""]",[],[],"[""74965""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,CETYL PEG/PPG-10/1 DIMETHICONE,"[""SKIN CONDITIONING"", ""SURFACTANT - CLEANSING"", ""SURFACTANT - EMULSIFYING""]",[],[],"[""55251""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,CHAMOMILLA RECUTITA FLOWER EXTRACT,"[""FRAGRANCE"", ""SKIN CONDITIONING""]",[],[],"[""55292""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,CHLORPHENESIN,"[""ANTIMICROBIAL"", ""PRESERVATIVE""]","[""V/50""]",[],"[""32667""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,CHOLESTEROL,"[""LIGHT STABILIZER"", ""SKIN CONDITIONING"", ""SKIN CONDITIONING - EMOLLIENT"", ""SURFACTANT - EMULSIFYING"", ""VISCOSITY CONTROLLING""]",[],[],"[""74991""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,CHONDRUS CRISPUS EXTRACT,"[""SKIN CONDITIONING"", ""VISCOSITY CONTROLLING""]",[],[],"[""75010""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,CITRAL,"[""FLAVOURING"", ""FRAGRANCE"", ""PERFUMING""]","[""III/70""]",[],"[""32857""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,CITRIC ACID,"[""BUFFERING"", ""CHELATING"", ""FRAGRANCE""]",[],"[""Opinion on Citric acid (and) Silver Citrate"", ""Position paper on the Safety of alpha-Hydroxy Acids"", ""Updated position paper concerning consumer Safety of alpha-hydroxy acids""]","[""32858""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,CITRONELLOL,"[""PERFUMING""]","[""III/86""]",[],"[""32861""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,CITRULLUS LANATUS FRUIT EXTRACT,"[""SKIN CONDITIONING""]",[],[],"[""87443""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,CITRUS AURANTIUM BERGAMIA FRUIT OIL,"[""FRAGRANCE"", ""PERFUMING""]",[],[],"[""55490""]"
